Brand,Store Name,Address
CU,CU Taman Mergong Jaya,"CU TAMAN MERGONG JAYA, NO.188-G & 189-G, SSN, TAMAN, PERSIARAN BANDAR BARU MERGONG, TAMAN MERGONG JAYA, ALOR SETAR, KEDAH, 05150"
CU,CU UUM Sintok,"SINTOK, BANGUNAN, VARSITY MALL, UNIVERSITI UTARA MALAYSIA, KEDAH, 06010"
CU,CU Bandar Pasir Putih,"CU BANDAR BARU PASIR PUTEH, PT2278, TINGKAT BAWAH, KG, JALAN BANGGOL KERIAN, BANDAR BARU, PASIR PUTEH, KELANTAN, 16800"
CU,CU Jelawat,"CU JELAWAT, PT4402 & PT4403, TINGKAT BAWAH, BANDAR BARU JELAWAT, BACHOK, KELANTAN, 16070"
CU,CU PP Tunjung KB,"CU TUNJUNG KOTA BHARU, PT1365), GROUND FLOOR, PUSAR PERNIAGAAN, LOT 506, JALAN KUALA KRAI, BANDAR BARU TUNJUNG, KOTA BHARU, KELANTAN, 16010"
CU,CU UTC Kota Bharu,"LOT G1.01 & LOT G1.13, TINGKAT BAWAH BANGUNAN UTC KELANTAN, JALAN HAMZAH BANDAR KOTA BHARU, KOTA BHARU, KELANTAN, 15050"
CU,CU Sri Damansara,"CU BANDAR SRI DAMANSARA, 16, JALAN TANJUNG SD 13/1, BANDAR SRI DAMANSARA, BANDAR SRI DAMANSARA, KUALA LUMPUR, 52200"
CU,CU Arkadia Desa Parkcity,"CU @ PLAZA ARKADIA, F-G-10, PLAZA ARKADIA, 3, JALAN INTISARI, DESA PARKCITY, KUALA LUMPUR, KUALA LUMPUR, 52200"
CU,CU Avenue K,"CU MART 5070, AVENUE K, C3B, AVENUE K, JLN AMPANG, KUALA LUMPUR, KUALA LUMPUR, 50450"
CU,CU Bandar 2 Bukit Jalil,"LOT NO. 1.37.00, LEVEL 1 PUSAT BANDAR 2, PERSIARAN JALIL UTAMA BUKIT JALIL, KUALA LUMPUR, 57000"
CU,CU Bandar Damai Perdana,"NO. 20, JALAN DAMAI PERDANA 1/9A, BANDAR DAMAI PERDANA, KUALA LUMPUR, KUALA LUMPUR, 56100"
CU,CU Bandar Menjalara,"CU BANDAR MANJALARA KEPONG, JALAN 3/62A, BANDAR MENJALARA, KUALA LUMPUR, 52200"
CU,CU Datum Mall,"CU @ DATUM JELATEK SHOPPING CENTRE, G-26, G-26, AL (ALFRESCO, DATUM MALL, JALAN ENGGANG, TAMAN KERAMAT, KUALA LUMPUR, KUALA LUMPUR, 54200"
CU,CU DC Mall,"CU DAMANSARA CITY MALL, LOT G-05, GROUND FLOOR, DAMANSARA CITY MALL, 6, JALAN DAMANLELA, DAMANSARA, KUALA LUMPUR, 50490"
CU,CU Desa Petaling,"CU DESA PETALING, 43-G & 45-G, JLN 1/125D, TAMAN DESA PETALING, KUALA LUMPUR, KUALA LUMPUR, 57100"
CU,CU Dwangsa Wangsa Maju,"CU WANGSA MAJU, 6, JALAN WANGSA DELIMA 11, WANGSA MAJU, KUALA LUMPUR, KUALA LUMPUR, 53300"
CU,CU Gardens Mall,"LG 238, LOWER GROUND FLOOR THE GARDENS MALL, MID VALLEY CITY LINGKARAN SYED PUTRA, MID VALLEY CITY , KUALA LUMPUR, 59200"
CU,CU IIUM,"CU MART IIUM, INTERNATIONAL ISLAMIC UNIVERSITY MALAYSIA, 53100, JLN GOMBAK, KUALA LUMPUR, SELANGOR, 53100"
CU,CU Kuchai Maju,"NO. 33, JALAN KUCHAI MAJU 8, KUCHAI ENTREPRENEURS PARK KUALA LUMPUR, KUALA LUMPUR, 58200"
