Brand,Store Name,Address
McDonald's,McDonald's Bandar Baru Bangi DT,,"Lot No. PTD13309 & PTD52136, KM11 Jalan Skudai, Mukim Tebrau, 81200, Johor Bahru, Johor, Malaysia",
McDonald's,McDonald's Teluk Intan DT,,"Bangunan Restoran McDonald's, Jalan Mewah Utara, 68000, Ampang, Kuala Lumpur, Malaysia",
McDonald's,McDonald's Klang Sentral,,"Lot 32426 Jalan Puchong Permai 2, Taman Puchong Permai, 47100, Puchong, Selangor, Malaysia",
McDonald's,McDonald's Prima Saujana Kajang DT,,"Lot 16794 & 16795, Jalan 37/56, Taman Setiawangsa, 54200, Kuala Lumpur, Malaysia",
McDonald's,McDonald's Dataran Pahlawan 2,,"No. 1689, Jalan Perusahaan, Highway Auto City, Kawasan Perusahaan 4, North-South Highway, Juru Interchange, MK 11, Seberang Perai Tengah Perai 4, 13600, Perai, Pulau Pinang.",
McDonald's,McDonald's Puchong Gateway DT,,"Lot 05-93, 93A, No. 1, Jalan Imbi, 55100, Kuala Lumpur, Malaysia",
McDonald's,McDonald's Pasir Gudang DT,,"Lot PT 7132, Mukim Kerteh, 24300, Daerah Kemaman, Terengganu, Malaysia",
McDonald's,McDonald's Sunway City Ipoh DT,,"Lot B, Jalan Cecawi 6/18A, Kota Damansara, 47810, Petaling Jaya, Selangor, Malaysia",
McDonald's,McDonald's Petronas MRR2 Kepong DT,,"No. 1, Jalan Anggerik Vanilla 31/94, Seksyen 31, Kota Kemuning, 40706, Shah Alam, Selangor, Malaysia",
McDonald's,McDonald's Pengkalan DT,,"Lot G - 21,23,25 and 26 part, Complex Karamunsing, Jalan Karamunsing, 88000, Kota Kinabalu, Sabah, Malaysia",
McDonald's,McDonald's Kampar DT,,"Lot Nos. 5730, 5731 & 5732, Jalan Jelawat, Mukim 1, Pusat Bandar Seberang Jaya, 13700, Prai, Pulau Pinang, Malaysia",
McDonald's,McDonald's Sibu,,"1/116B, Off Jalan Kuchai Lama, Kuchai Entrepreneurs Park, 58200, Kuala Lumpur, Malaysia",
McDonald's,McDonald's Dungun,,"Lot 18113, Jalan Cendikiawan, 55100, Mukim Petaling, Kuala Lumpur, Malaysia",
McDonald's,McDonald's Ulu Tiram DT,,"Lot 1, Persiaran Batu Nilam, Bandar Baru Bukit Tinggi, 41200, Klang, Selangor, Malaysia",
McDonald's,McDonald's Petronas Batu Ferringhi DT,,"Lot 36327, Jalan PJU 10/1, Damansara Damai, 47000, Sungai Buloh, Selangor, Malaysia",
McDonald's,McDonald's Mutiara Damansara DT,,"Petronas Petrol Station, Lot No.105615, Jalan Pesona, Taman Pelangi Indah, 81800, Johor Bahru, Johor, Malaysia",
McDonald's,McDonald's Parit Raja DT,,"Lot PT 678, Jalan Pusat Bandar, 48000, Rawang, Selangor, Malaysia",
McDonald's,McDonald's Lotus's Seremban 2,,"Petronas Petrol Station, Technology Park Malaysia, Seremban KL-Highway, 50700, Kuala Lumpur, Malaysia",
McDonald's,McDonald's Setia Tropika DT,,"1-1-01 & 1-1-02, Lot A3 - 4, Jalan Udini, 11700, Pulau Pinang, Malaysia",
McDonald's,McDonald's Batu Berendam DT,,"Lot No GZF-05 & GZF-06, Ground Floor, The Curve, Mutiara Damansara, 47800, Petaling Jaya, Selangor, Malaysia",
McDonald's,McDonald's Citta Mall,,"Lot No. 2, Persiaran Equine, Taman Equine, 43300, Seri Kembangan, Selangor, Malaysia",
McDonald's,McDonald's Simpang DT,,"Lot 517, 276 & 277, Batu 7, Lebuhraya Lingkaran Tengah 2, MRR2, 53300, Mukim Ulu Kelang, Selangor, Malaysia",
McDonald's,McDonald's Sandakan DT,,"Stesyen Minyak Shell, Lot No. PT 1021 & PT 1022, Jalan Aman, Persiaran Perdana, Desa Aman Puri, 52100, Kepong, Selangor, Malaysia",
McDonald's,McDonald's Jln Apas Tawau DT,,"No. 2, Jalan Jati, Taman Nusa Bestari Jaya, 81300, Johor Bahru, Johor, Malaysia",
McDonald's,McDonald's Shell Jalan Sulaman DT,,"Lot 1150, Jalan Kasturi 36/41, Indahpura, 81000, Kulai, Johor Bahru, Johor, Malaysia",
McDonald's,McDonald's Pontian DT,,"Lot G43, Ground Floor, Jusco Seremban 2, Shopping Centre, 112 Persiaran S2, Phase B1, Seremban 2, 70300, Seremban, Negeri Sembilan, Malaysia",
McDonald's,McDonald's Persiaran Raja Muda Musa DT,,"Lot PT 61054, Batu 11, Jalan Pontian, 81300, Skudai, Johor, Malaysia",
McDonald's,McDonald's Indera Mahkota DT,,"Lot 15385 Seksyen PJU 1A, KM 15.4 Arah Utara, Lebuh Baru Lembah Kelang, 40150, Petaling Jaya, Selangor, Malaysia",
McDonald's,McDonald's MITC Melaka DT,,"D/A Petronas Servis Stesen, Jalan Kolam Ayer Lama, Lot 36904 (PT 27423), Taman Dato' Ahmad Razali, 68000, Ampang, Selangor, Malaysia",
McDonald's,McDonald's Harbour Mall Sandakan,,"Lot A02, Dataran Pahlawan Melaka Megamall, Jalan Merdeka, 75000, Melaka, Malaysia",
McDonald's,McDonald's Pengkalan Chepa DT,,"Lot PT 135893, Jalan Roda Utama, 81300, Skudai, Johor Bahru, Johor, Malaysia",
McDonald's,McDonald's Kota Emerald DT,,"LG-73, Lower Ground Floor, Queensbay Mall, 100, Persiaran Bayan Indah, 11900, Pulau Pinang, Malaysia",
McDonald's,McDonald's Bertam DT,,"Lot PT 18150 & PT 18151, Jalan Suasana 2/2, Bandar Tun Hussein Onn, 43200, Cheras, Selangor, Malaysia",
McDonald's,McDonald's Temerloh DT,,"Lot G51, Ground Floor, Jusco Balakong Shopping Centre, 43200, Balakong, Selangor, Malaysia",
McDonald's,McDonald's Bintulu DT,,"Lot 114, Jalan Lumut, Setiawangsa, 32010, Sri Manjung, Perak, Malaysia",
McDonald's,McDonald's Kluang DT,,"PN684, Mukim Ulu Kinta, Jalan Gopeng, 31350, Ipoh, Perak, Malaysia",
McDonald's,McDonald's Meru Raya DT,,"No.2, Jalan 22/6, Seksyen 22, 40300, Shah Alam, Selangor, Malaysia",
McDonald's,McDonald's Petron Section 7,,"Lot 3644 HS (D) 70344 &, Lot PT 8081 HS (D) 107241, Taman Melati, Mukim Setapak, 53100, Kuala Lumpur, Malaysia",
McDonald's,McDonald's Alor Mengkudu DT,,"No. 2 Jalan Cemerlang 4, 42700 Banting, Selangor, Malaysia",
McDonald's,McDonald's Sri Manjung 2 DT,,"AEON Bukit Tinggi Shopping Centre, No. 1, Persiaran Batu Nilam 1/KS6, Bandar Bukit Tinggi 2, 41200, Klang, Selangor, Malaysia",
McDonald's,McDonald's Giant Jalan Kebun DT,,"Caltex Farlim Petrol station, Lot No.9435, Mukim 13, North East District, 11900, Pulau Pinang, Malaysia",
McDonald's,McDonald's Sri Serdang Prima,,"Plaza Melaka Sentral, Lot No. 59, Zone D, Ground Floor, 75000, Melaka, Malaysia",
McDonald's,McDonald's Tabuan Jaya DT,,"Concourse Floor, 1 Borneo Mall, Lot No. C215 - C218 & Part of D219, 88871, Kota Kinabalu, Sabah, Malaysia",
McDonald's,McDonald's Seremban DT,,"No. 4, Lot 33428, Jalan BRP 3/3, Bukit Rahman Putra, Seksyen U20, 40160, Shah Alam, Selangor, Malaysia",
McDonald's,"McDonald's MJC Batu Kawa DT, Kuching",,"Lot PT 7430, HSD 111856, KM5.5, Jalan Cheras, 56000, Cheras, Kuala Lumpur, Malaysia",
McDonald's,McDonald's BHP Taman Melawati DT,,"Lot No. L3 - L14, Public Concourse, Departure Level Terminal 1, Kota Kinabalu International Airport, 88100, Kota Kinabalu, Sabah, Malaysia",
McDonald's,McDonald's Main Place,,"Lot No. L1L04 - L1L06, Labuan Airport, Arrival Hall 1, Terminal Building, 80569, WP Labuan, Malaysia",
